"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Clothing",999,0,"",1.42918454935622
"Clothing",1299,0,"",1.42904290429043
"Clothing",1799,0,"",3.29487179487179
"Clothing",1999,0,"",1
"Clothing",699,0,"",1
"Clothing",999,0,"",1.42918454935622
"Clothing",1400,0,"",2.33333333333333
"Clothing",1099,0,"",1.42912873862159
"Clothing",999,0,"",1.665
"Clothing",999,0,"",1.665
"Clothing",999,0,"",2.00200400801603
"Jewellery",44019,0,"Karatcraft",1.57148977187533
"Clothing",1400,0,"",2
"Jewellery",46772,0,"Karatcraft",1.40464892786354
"Clothing",899,0,"",1.80160320641283
"Clothing",1200,0,"",2.40480961923848
"Clothing",1400,0,"",2.80561122244489
"Clothing",899,0,"",1.80160320641283
"Clothing",2200,0,"",2.75344180225282
"Clothing",899,0,"",1
"Clothing",799,0,"",1.60120240480962
"Footwear",399,0,"",2.00502512562814
"Jewellery",49999,0,"Karatcraft",1.40061067846938
"Clothing",699,0,"",1.55679287305123
"Clothing",699,0,"",2.00286532951289
"Jewellery",47049,0,"Karatcraft",1.3960299092042
"Jewellery",42860,0,"Karatcraft",1.09998973411354
"Footwear",1599,0,"",2.00125156445557
"Footwear",1799,0,"",2.00111234705228
"Footwear",1599,0,"",2.00125156445557
"Footwear",1599,0,"",2.00125156445557
"Jewellery",3075,0,"Kiara Jewellery",2.00065061808718
"Jewellery",2875,0,"Kiara Jewellery",2.09090909090909
"Jewellery",3425,0,"Kiara Jewellery",1.77922077922078
"Jewellery",3475,0,"Kiara Jewellery",1.75949367088608
"Jewellery",3275,0,"Kiara Jewellery",2.00061087354918
"Jewellery",3875,0,"Kiara Jewellery",2.81818181818182
"Jewellery",3467,0,"Kiara Jewellery",2.00057703404501
"Jewellery",3625,0,"Kiara Jewellery",1.70588235294118
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
"Clothing",1550,0,"",2.05026455026455
